Timestamp;CenterEyeAnchor_PosX;CenterEyeAnchor_PosY;CenterEyeAnchor_PosZ;Sphere1_PosX;Sphere1_PosY;Sphere1_PosZ;Sphere2_PosX;Sphere2_PosY;Sphere2_PosZ
0,00;0,0000;0,0000;0,0000;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
0,51;0,0000;0,0000;0,0000;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
1,18;-0,0549;1,2704;-0,0169;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
1,88;-0,0525;1,2729;-0,0193;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
2,38;-0,0595;1,2592;-0,0080;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
2,91;-0,0683;1,2410;0,0012;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
3,45;-0,0764;1,2585;-0,0098;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
3,98;-0,0742;1,2632;-0,0131;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
4,57;-0,0742;1,2635;-0,0116;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
5,15;-0,0746;1,2642;-0,0120;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
5,75;-0,0745;1,2639;-0,0118;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
6,43;-0,0752;1,2593;0,0076;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
6,98;-0,0614;1,2626;0,0661;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
7,61;-0,0478;1,2672;0,0899;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
8,16;-0,0312;1,2627;0,1201;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
8,71;-0,0260;1,2645;0,1212;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
9,30;-0,0240;1,2647;0,1227;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
9,87;-0,0239;1,2645;0,1236;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
10,49;-0,0259;1,2645;0,1227;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
11,07;-0,0246;1,2650;0,1229;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
11,64;-0,0286;1,2658;0,1210;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
12,22;-0,0449;1,2710;0,1231;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
12,76;-0,0693;1,2821;0,0429;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
13,32;-0,0490;1,2903;0,0282;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
13,84;-0,0507;1,2963;0,0035;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
14,54;-0,0432;1,2926;0,0009;-1,9756;0,8000;3,7147;-2,7900;0,8000;4,5800
